key,state_name,district_name,crop_year,season,crop,area,min_rainfall,max_rainfall,mean_rainfall,annual_rainfall,production,yield,yield_class
Karnataka-Bagalkot-Arhar/Tur-2000-Kharif,Karnataka,Bagalkot,2000,Kharif,Arhar/Tur,4984.0,0.0,173.079,71.463,857.558,3693.0,0.741,Good
Karnataka-Bagalkot-Bajra-2000-Kharif,Karnataka,Bagalkot,2000,Kharif,Bajra,41232.0,0.0,173.079,71.463,857.558,41300.0,1.002,Very Good
Karnataka-Bagalkot-Castor seed-2000-Kharif,Karnataka,Bagalkot,2000,Kharif,Castor seed,52.0,0.0,173.079,71.463,857.558,67.0,1.288,Good
Karnataka-Bagalkot-Cotton(lint)-2000-Kharif,Karnataka,Bagalkot,2000,Kharif,Cotton(lint),15767.0,0.0,173.079,71.463,857.558,23002.0,1.459,Good
Karnataka-Bagalkot-Groundnut-2000-Kharif,Karnataka,Bagalkot,2000,Kharif,Groundnut,14487.0,0.0,173.079,71.463,857.558,9664.0,0.667,Good
Karnataka-Bagalkot-Horse-gram-2000-Kharif,Karnataka,Bagalkot,2000,Kharif,Horse-gram,2359.0,0.0,173.079,71.463,857.558,2902.0,1.23,Excellent
Karnataka-Bagalkot-Jowar-2000-Kharif,Karnataka,Bagalkot,2000,Kharif,Jowar,11375.0,0.0,173.079,71.463,857.558,22359.0,1.966,Very Good
Karnataka-Bagalkot-Maize-2000-Kharif,Karnataka,Bagalkot,2000,Kharif,Maize,31263.0,0.0,173.079,71.463,857.558,99110.0,3.17,Very Good
Karnataka-Bagalkot-Mesta-2000-Kharif,Karnataka,Bagalkot,2000,Kharif,Mesta,9.0,0.0,173.079,71.463,857.558,17.0,1.889,Very Good
Karnataka-Bagalkot-Moong(Green Gram)-2000-Kharif,Karnataka,Bagalkot,2000,Kharif,Moong(Green Gram),23658.0,0.0,173.079,71.463,857.558,10069.0,0.426,Good
Karnataka-Bagalkot-Niger seed-2000-Kharif,Karnataka,Bagalkot,2000,Kharif,Niger seed,435.0,0.0,173.079,71.463,857.558,66.0,0.152,Poor
Karnataka-Bagalkot-Other Kharif pulses-2000-Kharif,Karnataka,Bagalkot,2000,Kharif,Other Kharif pulses,2961.0,0.0,173.079,71.463,857.558,1001.0,0.338,Poor
Karnataka-Bagalkot-Rice-2000-Kharif,Karnataka,Bagalkot,2000,Kharif,Rice,171.0,0.0,173.079,71.463,857.558,311.0,1.819,Good
Karnataka-Bagalkot-Sesamum-2000-Kharif,Karnataka,Bagalkot,2000,Kharif,Sesamum,1981.0,0.0,173.079,71.463,857.558,969.0,0.489,Good
Karnataka-Bagalkot-Small millets-2000-Kharif,Karnataka,Bagalkot,2000,Kharif,Small millets,1142.0,0.0,173.079,71.463,857.558,723.0,0.633,Good
Karnataka-Bagalkot-Soyabean-2000-Kharif,Karnataka,Bagalkot,2000,Kharif,Soyabean,4743.0,0.0,173.079,71.463,857.558,4749.0,1.001,Very Good
Karnataka-Bagalkot-Sunflower-2000-Kharif,Karnataka,Bagalkot,2000,Kharif,Sunflower,25378.0,0.0,173.079,71.463,857.558,16262.0,0.641,Poor
Karnataka-Bagalkot-Gram-2000-Rabi,Karnataka,Bagalkot,2000,Rabi,Gram,16454.0,0.0,173.079,71.463,857.558,9834.0,0.598,Good
Karnataka-Bagalkot-Groundnut-2000-Rabi,Karnataka,Bagalkot,2000,Rabi,Groundnut,11875.0,0.0,173.079,71.463,857.558,17305.0,1.457,Very Good
Karnataka-Bagalkot-Horse-gram-2000-Rabi,Karnataka,Bagalkot,2000,Rabi,Horse-gram,1530.0,0.0,173.079,71.463,857.558,490.0,0.32,Poor
Karnataka-Bagalkot-Jowar-2000-Rabi,Karnataka,Bagalkot,2000,Rabi,Jowar,132473.0,0.0,173.079,71.463,857.558,94603.0,0.714,Poor
Karnataka-Bagalkot-Linseed-2000-Rabi,Karnataka,Bagalkot,2000,Rabi,Linseed,4647.0,0.0,173.079,71.463,857.558,1377.0,0.296,Very Good
Karnataka-Bagalkot-Maize-2000-Rabi,Karnataka,Bagalkot,2000,Rabi,Maize,17492.0,0.0,173.079,71.463,857.558,47659.0,2.725,Good
Karnataka-Bagalkot-Other  Rabi pulses-2000-Rabi,Karnataka,Bagalkot,2000,Rabi,Other  Rabi pulses,677.0,0.0,173.079,71.463,857.558,90.0,0.133,Good
Karnataka-Bagalkot-Rapeseed &Mustard-2000-Rabi,Karnataka,Bagalkot,2000,Rabi,Rapeseed &Mustard,74.0,0.0,173.079,71.463,857.558,11.0,0.149,Poor
Karnataka-Bagalkot-Safflower-2000-Rabi,Karnataka,Bagalkot,2000,Rabi,Safflower,3296.0,0.0,173.079,71.463,857.558,3023.0,0.917,Very Good
Karnataka-Bagalkot-Sunflower-2000-Rabi,Karnataka,Bagalkot,2000,Rabi,Sunflower,36375.0,0.0,173.079,71.463,857.558,20518.0,0.564,Poor
Karnataka-Bagalkot-Wheat-2000-Rabi,Karnataka,Bagalkot,2000,Rabi,Wheat,23969.0,0.0,173.079,71.463,857.558,37181.0,1.551,Excellent
Karnataka-Bagalkot-Maize-2000-Summer,Karnataka,Bagalkot,2000,Summer,Maize,3129.0,0.0,173.079,71.463,857.558,8799.0,2.812,Good
Karnataka-Bagalkot-Sunflower-2000-Summer,Karnataka,Bagalkot,2000,Summer,Sunflower,2901.0,0.0,173.079,71.463,857.558,2163.0,0.746,Poor
Karnataka-Bagalkot-Arecanut-2000-Whole Year,Karnataka,Bagalkot,2000,Whole Year,Arecanut,4.0,0.0,173.079,71.463,857.558,6.0,1.5,Poor
Karnataka-Bagalkot-Banana-2000-Whole Year,Karnataka,Bagalkot,2000,Whole Year,Banana,872.0,0.0,173.079,71.463,857.558,14647.0,16.797,Poor
Karnataka-Bagalkot-Coconut -2000-Whole Year,Karnataka,Bagalkot,2000,Whole Year,Coconut,1312.0,0.0,173.079,71.463,857.558,6268.0,4.777,Poor
Karnataka-Bagalkot-Coriander-2000-Whole Year,Karnataka,Bagalkot,2000,Whole Year,Coriander,34.0,0.0,173.079,71.463,857.558,3.0,0.088,Poor
Karnataka-Bagalkot-Dry chillies-2000-Whole Year,Karnataka,Bagalkot,2000,Whole Year,Dry chillies,756.0,0.0,173.079,71.463,857.558,654.0,0.865,Poor
Karnataka-Bagalkot-Garlic-2000-Whole Year,Karnataka,Bagalkot,2000,Whole Year,Garlic,27.0,0.0,173.079,71.463,857.558,22.0,0.815,Poor
Karnataka-Bagalkot-Onion-2000-Whole Year,Karnataka,Bagalkot,2000,Whole Year,Onion,3819.0,0.0,173.079,71.463,857.558,33520.0,8.777,Good
